id,t,h,ts
dht22-yellow,22.1,38.1,16:11:53
dht22-yellow,22.1,38.2,16:13:55
dht22-yellow,22.1,38.1,16:15:56
dht22-yellow,22.1,38.2,16:17:58
dht22-yellow,22.1,38.2,16:20:02
dht22-yellow,22.2,38.8,16:22:05
dht22-yellow,22.6,37.9,16:24:07
dht22-yellow,22.7,37.6,16:26:08
dht22-yellow,22.8,39.6,16:28:10
dht22-yellow,22.5,37.5,16:30:11
dht22-yellow,22.4,37.8,16:32:13
dht22-yellow,22.3,38,16:34:14
dht22-yellow,22.3,38.1,16:36:16
dht22-yellow,22.2,38.6,16:38:17
dht22-yellow,22.2,38.1,16:40:19
dht22-yellow,22.1,38.1,16:42:44
dht22-yellow,22.1,38.2,16:44:46
dht22-yellow,22.1,38.1,16:46:47
dht22-yellow,22.1,38.1,16:48:49
dht22-yellow,22.1,38.1,16:50:51
dht22-yellow,22.1,38.1,16:52:53
dht22-yellow,22.1,38.3,16:54:55
dht22-yellow,22.1,38.4,16:57:17
dht22-yellow,22,38.2,16:59:18
dht22-yellow,22,38.2,17:01:20
dht22-yellow,22,38.3,17:03:22
dht22-yellow,22,38.4,17:05:23
dht22-yellow,22,38.5,17:07:25
dht22-yellow,22,38.3,17:09:26
dht22-yellow,22,38.3,17:11:29
dht22-yellow,22.1,38.4,17:13:32
dht22-yellow,22.1,38.5,17:15:33
dht22-yellow,22,38.4,17:17:37
dht22-yellow,22,38.5,17:19:38
dht22-yellow,22,38.8,17:21:40
dht22-yellow,21.9,38.9,17:23:41
dht22-yellow,21.9,38.9,17:26:03
dht22-yellow,21.9,39.6,17:28:04
dht22-yellow,21.9,39.1,17:30:06
dht22-yellow,21.9,38.8,17:32:08
dht22-yellow,21.9,39,17:34:09
dht22-yellow,21.8,39,17:36:11
dht22-yellow,21.9,38.9,17:38:12
dht22-yellow,21.9,38.9,17:40:15
dht22-yellow,21.9,38.9,17:42:16
dht22-yellow,21.9,38.7,17:44:18
dht22-yellow,21.9,38.8,17:46:19
dht22-yellow,21.8,38.7,17:48:41
dht22-yellow,21.8,39,17:50:44
dht22-yellow,21.7,38.9,17:52:46
dht22-yellow,21.7,39.1,17:54:47
dht22-yellow,21.7,38.8,17:56:49
dht22-yellow,21.7,38.8,17:58:50
dht22-yellow,21.8,39.1,18:00:52
